iter	Passed	Remaining
642	16569	34969
643	16593	34938
644	16617	34908
645	16642	34882
646	16668	34856
647	16680	34803
648	16704	34773
649	16730	34748
650	16754	34718
651	16780	34693
652	16807	34670
653	16819	34617
654	16844	34588
655	16860	34542
656	16884	34513
657	16910	34489
658	16933	34457
659	16957	34429
660	16980	34398
661	17006	34372
662	17027	34338
663	17049	34304
664	17074	34276
665	17098	34248
666	17115	34206
667	17139	34176
668	17164	34149
669	17189	34122
670	17213	34093
671	17239	34068
672	17264	34040
673	17287	34010
674	17313	33984
675	17335	33952
676	17359	33924
677	17385	33899
678	17409	33870
679	17433	33841
680	17456	33811
681	17481	33782
682	17506	33756
683	17530	33728
684	17556	33703
685	17588	33690
686	17617	33671
687	17644	33647
688	17667	33617
689	17688	33582
690	17703	33537
691	17722	33498
692	17761	33497
693	17787	33473
694	17814	33449
695	17839	33423
696	17852	33374
697	17878	33349
698	17902	33321
699	17926	33292
700	17946	33256
701	17973	33233
702	17999	33208
703	18024	33180
704	18048	33153
705	18075	33129
706	18099	33101
707	18117	33062
708	18142	33035
709	18166	33007
710	18189	32975
711	18212	32946
712	18241	32926
713	18261	32890
714	18285	32862
715	18309	32834
716	18333	32805
717	18358	32779
718	18370	32730
719	18381	32678
720	18405	32649
721	18430	32622
722	18441	32571
723	18467	32547
724	18492	32521
725	18504	32471
726	18531	32449
727	18556	32423
728	18587	32406
729	18610	32377
730	18634	32349
731	18652	32310
732	18675	32281
733	18701	32255
734	18727	32231
735	18750	32202
736	18763	32155
737	18785	32124
738	18807	32092
739	18834	32069
740	18858	32041
741	18883	32015
742	18894	31965
743	18918	31937
744	18941	31907
745	18952	31859
746	18970	31819
747	18995	31793
748	19018	31765
749	19043	31739
750	19067	31711
751	19091	31683
752	19116	31657
753	19142	31633
754	19165	31604
755	19189	31575
756	19200	31528
757	19236	31520
758	19265	31499
759	19291	31475
760	19309	31438
761	19339	31419
762	19366	31396
763	19390	31370
764	19415	31344
765	19441	31319
766	19465	31291
767	19497	31277
768	19514	31238
769	19541	31215
770	19565	31188
771	19590	31161
772	19614	31135
773	19639	31108
774	19663	31080
775	19700	31074
776	19726	31049
777	19753	31026
778	19779	31002
779	19798	30966
780	19813	30925
781	19837	30897
782	19861	30870
783	19887	30845
784	19912	30820
785	19930	30783
786	19954	30755
787	19978	30728
788	20004	30704
789	20030	30680
790	20054	30652
791	20079	30625
792	20103	30599
793	20128	30573
794	20156	30551
795	20180	30524
796	20192	30478
797	20218	30453
798	20241	30425
799	20257	30386
800	20280	30357
801	20297	30319
802	20320	30291
803	20344	30263
804	20367	30234
805	20390	30206
806	20415	30180
807	20441	30156
808	20463	30126
809	20487	30099
810	20512	30073
811	20537	30047
812	20560	30018
813	20583	29990
814	20607	29962
815	20631	29935
816	20655	29908
817	20682	29885
818	20707	29860
819	20733	29835
820	20745	29791
821	20770	29766
822	20795	29739
823	20819	29712
824	20842	29685
825	20867	29658
826	20891	29632
827	20915	29605
828	20938	29576
829	20966	29555
830	20993	29532
831	21017	29505
832	21044	29481
833	21069	29457
834	21095	29432
835	21118	29404
836	21143	29378
837	21167	29352
838	21192	29326
839	21216	29299
840	21243	29275
841	21269	29251
842	21293	29224
843	21354	29248
844	21382	29227
845	21406	29200
846	21439	29184
847	21471	29168
848	21497	29144
849	21523	29119
850	21547	29092
851	21574	29069
852	21597	29041
853	21622	29015
854	21653	28998
855	21677	28970
856	21703	28946
857	21728	28920
858	21753	28894
859	21778	28868
860	21802	28842
861	21826	28814
862	21850	28787
863	21869	28754
864	21892	28726
865	21918	28702
866	21941	28673
867	21966	28647
868	21992	28622
869	22017	28597
870	22042	28571
871	22066	28544
872	22095	28524
873	22120	28498
874	22135	28460
875	22160	28434
876	22184	28407
877	22208	28380
878	22238	28360
879	22266	28338
880	22291	28313
881	22314	28285
882	22337	28257
883	22361	28230
884	22385	28203
885	22412	28180
886	22440	28157
887	22466	28133
888	22489	28105
889	22512	28077
890	22536	28050
891	22562	28025
892	22588	28001
893	22606	27967
894	22632	27943
895	22656	27916
896	22683	27892
897	22708	27867
898	22735	27844
899	22762	27820
900	22785	27792
901	22812	27769
902	22837	27743
903	22861	27717
904	22885	27689
905	22911	27665
906	22936	27640
907	22964	27617
908	22984	27587
909	23002	27552
910	23029	27529
911	23055	27505
912	23078	27476
913	23103	27451
914	23130	27427
915	23144	27389
916	23168	27362
917	23187	27329
918	23211	27303
919	23225	27264
920	23251	27240
921	23278	27217
922	23302	27190
923	23326	27163
924	23349	27135
925	23365	27100
926	23395	27080
927	23420	27054
928	23447	27031
929	23471	27005
930	23486	26968
931	23511	26942
932	23537	26917
933	23563	26893
934	23602	26884
935	23627	26858
936	23653	26834
937	23678	26808
938	23702	26782
939	23724	26753
940	23749	26727
941	23762	26688
942	23784	26660
943	23802	26626
944	23819	26592
945	23843	26565
946	23859	26529
947	23873	26492
948	23895	26463
949	23918	26436
950	23931	26397
951	23957	26373
952	23981	26347
953	24005	26319
954	24028	26293
955	24053	26268
956	24077	26241
957	24104	26218
958	24116	26178
959	24140	26152
960	24158	26119
961	24171	26081
962	24198	26057
963	24222	26031
964	24247	26005
965	24275	25984
966	24300	25959
967	24311	25918
968	24323	25879
969	24349	25855
970	24373	25829
971	24402	25808
972	24429	25784
973	24453	25758
974	24478	25733
975	24492	25697
976	24518	25673
977	24534	25638
978	24558	25612
979	24582	25585
980	24604	25558
981	24616	25519
982	24639	25491
983	24655	25457
984	24674	25425
985	24697	25398
986	24724	25375
987	24749	25350
988	24767	25318
989	24791	25292
990	24815	25266
991	24841	25242
992	24865	25215
993	24889	25190
994	24903	25153
995	24929	25129
996	24957	25107
997	24982	25082
998	24995	25046
999	25020	25020
1000	25044	24994
1001	25071	24971
1002	25093	24943
1003	25111	24911
1004	25127	24877
1005	25150	24850
1006	25175	24825
1007	25199	24799
1008	25222	24772
1009	25248	24748
1010	25273	24723
1011	25298	24698
1012	25331	24681
1013	25361	24660
1014	25383	24633
1015	25409	24609
1016	25433	24582
1017	25445	24545
1018	25469	24519
1019	25494	24494
1020	25530	24480
1021	25555	24455
1022	25578	24428
1023	25603	24403
1024	25631	24381
1025	25654	24353
1026	25678	24328
1027	25701	24301
1028	25714	24264
1029	25738	24239
1030	25761	24211
1031	25778	24179
1032	25788	24141
1033	25813	24116
1034	25839	24091
1035	25864	24066
1036	25887	24039
1037	25911	24014
1038	25937	23990
1039	25960	23963
1040	25983	23936
1041	26008	23911
1042	26032	23885
1043	26055	23859
1044	26078	23832
1045	26103	23807
1046	26129	23783
1047	26152	23757
1048	26164	23720
1049	26187	23693
1050	26205	23662
1051	26230	23637
1052	26252	23609
1053	26275	23583
1054	26298	23556
1055	26312	23521
1056	26341	23500
1057	26364	23474
1058	26388	23447
1059	26412	23422
1060	26438	23398
1061	26462	23372
1062	26489	23349
1063	26511	23322
1064	26536	23297
1065	26559	23270
